POSTED_BY,BHK_OR_RK,UNDER_CONSTRUCTION,RERA,BHK_NO.,READY_TO_MOVE,RESALE,SQUARE_FT,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),ADDRESS
Dealer,BHK,1,0,3,0,1,993.75,26.706157,88.439748,31.8,"Subhas Pally,Siliguri"
Dealer,BHK,0,0,2,1,1,1298.139334,23.169982,77.477889,30,"Jatkhedi,Bhopal"
Dealer,BHK,0,1,2,1,1,996.797438,26.900926,75.775927,24.9,"Raj Nagar Extension,Ghaziabad"
Owner,BHK,0,0,2,1,1,985.0194952,12.98556,77.66389,48,"CV Raman Nagar,Bangalore"
Dealer,BHK,0,0,3,1,1,1118.75,12.91716,80.19287,53.7,"Medavakkam,Chennai"
Dealer,BHK,0,1,2,1,1,889.8305085,28.506454,77.409568,42,"Sector-137 Noida,Noida"
Owner,BHK,0,0,3,1,1,2738.22563,12.863421,77.652405,150,"Basapura,Bangalore"
Dealer,BHK,1,1,4,0,0,1725.490196,19.049513,72.919204,440,"Deonar,Maharashtra"
Dealer,BHK,1,1,3,0,1,2488.004265,30.654128,76.732427,140,"Sector-82 Mohali,Mohali"
Dealer,BHK,0,0,3,1,1,1200.082764,23.207157,88.404471,58,"Satgachi,Kolkata"
Dealer,BHK,0,0,2,1,1,1584.283904,26.459137,79.506922,100,"Tilak Nagar,Kanpur"
Owner,BHK,0,0,2,1,1,900,23.2257,72.51679,18,"Kalol,Gandhinagar"
Dealer,BHK,0,1,2,1,1,1193.440032,18.441256,74.647361,60.4,"Talegaon,Pune"
Owner,BHK,0,0,2,1,1,1487.357462,26.8626,75.7633,30,"Mansarovar Extension,Jaipur"
Owner,BHK,1,1,2,0,1,989.9029895,28.5035,77.426447,50,"Sector-143 Noida,Noida"
Dealer,BHK,0,0,2,1,1,1155.020213,19.147866,72.932609,140,"Bhandup (West),Maharashtra"
Owner,BHK,0,0,2,1,1,949.893137,11.93,79.83,80,"Eswaran Koil Street,Pondicherry"
Owner,BHK,0,0,2,1,1,875,28.560719,77.386208,49,"Sector-78 Noida,Noida"
Dealer,BHK,0,0,2,1,1,853.3611982,12.96991,77.59796,24.5,"Ananth Nagar,Bangalore"
Owner,BHK,0,0,1,1,1,483.0917874,18.4543,73.1147,18,"Roha,Raigad"
Dealer,BHK,0,0,2,1,1,800,19.18,72.96333,95,"Thane West,Maharashtra"
Owner,BHK,0,0,2,1,1,802.0415603,28.66667,77.41667,22,"Ankur Vihar,Ghaziabad"
Dealer,BHK,0,1,2,1,1,610.0660905,13.069866,80.198423,48,"Koyambedu,Chennai"
Owner,BHK,0,0,3,1,1,1680.107527,28.861993,78.756315,75,"Naveen Nagar,Kanpur"
Owner,BHK,0,0,2,1,1,1150.136038,19.980678,79.297436,93,"Nirman Nagar,Jaipur"
Owner,BHK,0,0,3,1,1,1550.114497,28.576117,77.382136,88,"Sector-75 Noida,Noida"
Owner,BHK,0,0,5,1,1,1699.834163,28.6711,77.3683,82,"Sahibabad,Ghaziabad"
Owner,BHK,1,0,3,0,1,1600.170685,9.952439,76.3632965,75,"Tripunithura,Kochi"
Owner,BHK,0,0,1,1,1,600.0566091,18.75,73.08,21.2,"Pen,Raigad"
Dealer,BHK,0,1,2,1,1,1429.200617,30.661104,76.746082,64.9,"Sector-66A Mohali,Mohali"
Owner,BHK,0,0,2,1,1,1115.137998,13.008071,77.651295,80,"Dodda Banaswadi,Bangalore"
Dealer,BHK,0,0,4,1,1,2750.929368,27.216013,77.950834,74,"Sikandra,Agra"
Owner,BHK,0,0,3,1,1,1811.196487,23.35556,85.33472,99,"Kanke,Ranchi"
Owner,BHK,0,0,2,1,1,1045.036079,22.43917,88.39583,42,"Narendrapur,Kolkata"
Dealer,BHK,0,0,3,1,1,3433.996566,28.403138,77.070052,340,"Sector-65 Gurgaon,Gurgaon"
Owner,BHK,0,0,3,1,1,1298.219585,12.840956,77.659441,70,"Electronics City Phase 1,Bangalore"
Owner,BHK,1,1,2,0,1,1109.165207,13.278237,74.747328,38,"Katapady,Udupi"
Dealer,BHK,1,1,4,0,0,1304.034182,18.96,72.82,470,"Kanchpada,Maharashtra"
Dealer,BHK,0,1,2,1,1,1041.195111,28.59632,77.38143,46,"Sector-70 Noida,Noida"
Dealer,BHK,0,0,3,1,1,2135.748916,28.394375,77.357227,83.7,"Sector 82 Faridabad,Faridabad"
Owner,BHK,0,1,3,1,1,1850.180505,28.579004,77.431173,82,"Noida Extension,Noida"
Dealer,BHK,0,0,3,1,1,1665.080875,23.166495,72.63429,70,"Kudasan,Gandhinagar"
Owner,BHK,0,1,2,1,1,398.2621289,26.707154,80.982346,11,"Purseni,Lucknow"
Owner,BHK,0,0,2,1,1,1005.025126,12.80009,77.71182,48,"Chandapura,Bangalore"
Dealer,BHK,0,1,4,1,1,4900.959771,18.5438,73.9438,240,"Kharadi,Pune"
Dealer,BHK,0,1,2,1,1,1294.016156,19.128324,72.825408,330,"4 Bunglows,Mumbai"
Dealer,BHK,0,1,3,1,1,1536.806516,28.6423,77.3445,100,"Sector-3 Vaishali,Ghaziabad"
Owner,BHK,0,0,2,1,1,1123.188406,12.9816,77.6729,62,"Kaggadasapura,Bangalore"
Dealer,BHK,0,0,2,1,1,800.1939864,26.955346,75.734793,16.5,"Jhotwara,Jaipur"
Dealer,BHK,0,1,4,1,1,2655.807365,19.239813,72.962722,300,"Manpada,Maharashtra"
Dealer,BHK,0,0,3,1,1,1513.775356,12.905368,77.580403,100,"JP Nagar,Bangalore"
Owner,BHK,0,0,3,1,1,1280,9.930471,76.271273,48,"Ponekkara,Kochi"
Owner,BHK,0,0,1,1,1,410.0678733,28.568846,77.324966,14.5,"Sector-18 Vrindavan Colony,Lucknow"
Dealer,BHK,0,0,4,1,1,3429.355281,22.312063,72.674296,100,"Vasna Road,Vadodara"
Dealer,BHK,0,0,2,1,1,890.0451869,28.582887,77.339935,65,"Sector-25 Khandeshhwar,Mumbai"
Owner,BHK,0,0,2,1,1,977.7082519,22.1764,75.8193,25,"Bicholi Mardana,Indore"
Dealer,BHK,0,0,2,1,1,1099.855282,12.977126,77.577724,38,"Syndicate Bank Colony,Bangalore"
Owner,BHK,1,0,2,0,1,1050.241272,26.29564,73.03943,37,"Paota,Jodhpur"
Dealer,BHK,0,1,3,1,1,1400.241838,26.900926,75.775927,57.9,"Raj Nagar Extension,Ghaziabad"
Dealer,BHK,0,0,3,1,1,1740.139211,19.048979,73.078232,180,"Sector 19 Kharghar,Mumbai"
Dealer,BHK,0,1,2,1,1,1149.131767,24.69028,78.41889,180,"Marol,Lalitpur"
Dealer,BHK,0,0,2,1,1,650.1950585,11.026678,76.903583,20,"Vadavalli,Coimbatore"
Owner,BHK,0,0,2,1,1,1355.01355,26.878068,75.779856,85,"Gopalpura Bypass,Jaipur"
Dealer,BHK,0,0,3,1,1,1800.072003,12.96991,77.59796,150,"Rasanna Colony,Bangalore"
Dealer,BHK,0,1,2,1,1,907.6305221,21.56128,74.21238,33.9,"Taloja,Maharashtra"
Dealer,BHK,0,0,3,1,1,1636.296021,13.141581,77.749756,88,"Budigere,Bangalore"
Owner,BHK,0,0,2,1,1,900.2520706,22.261354,73.215533,25,"Tarsali,Vadodara"
Owner,BHK,0,0,2,1,1,1318.044023,12.905538,77.694263,100,"Doddakannelli,Bangalore"
Dealer,BHK,0,1,3,1,1,1949.586451,30.684523,76.691728,99,"Sector-88 Mohali,Mohali"
Dealer,BHK,0,0,3,1,1,1643.36522,9.930471,76.271273,67,"Kakkanad,Kochi"
Dealer,BHK,0,0,3,1,1,1233.045623,18.96,72.82,210,"Kanjur Marg (East),Maharashtra"
Dealer,BHK,0,0,1,1,1,655.0802139,18.964489,73.019574,49,"Sector 20 Ulwe,Maharashtra"
Owner,BHK,0,0,2,1,1,1180.173092,12.96991,77.59796,75,"Ferrar Nagar,Bangalore"
Owner,BHK,0,0,3,1,1,1200.087279,28.6711,77.3683,55,"Sahibabad,Ghaziabad"
Dealer,BHK,0,0,4,1,1,6974.645114,22.53028,88.33417,1700,"New Alipore,Kolkata"
Owner,BHK,1,1,4,0,1,2700.075602,28.535689,77.359671,250,"Sector-98 Noida,Noida"
Owner,BHK,0,0,2,1,1,850.0991782,26.928785,75.828002,30,"Ajmer Road,Jaipur"
Dealer,BHK,1,1,4,0,1,2636.296531,12.8855,77.5638,250,"Konanakunte,Bangalore"
Owner,BHK,0,0,2,1,1,900.0163639,12.928575,77.585721,55,"Roopena Agrahara,Bangalore"
Dealer,BHK,1,0,4,0,1,2472.952087,18.475864,73.890009,160,"NIBM,Pune"
Dealer,BHK,0,0,2,1,1,904.0656205,20.098413,79.10786,50.7,"Suraksha Nagar,Bangalore"
Dealer,BHK,1,1,1,0,1,265.0033933,19.1145,72.8712,82,"Andheri (East),Lalitpur"
Dealer,BHK,1,1,3,0,1,1570.306924,26.16667,75.78333,110,"Tonk Road,Jaipur"
Dealer,BHK,0,0,2,1,1,955.4140127,19.255098,72.9815265,150,"Hiranandani Estate,Lalitpur"
Dealer,BHK,0,0,2,1,1,1000,28.593566,77.362752,60,"Sector-53 Noida,Noida"
Dealer,BHK,0,0,4,1,1,2494.747899,12.995285,77.766797,95,"Kadugodi,Bangalore"
Owner,BHK,0,0,2,1,1,1150.130348,13.1101,80.2095,75,"Villivakkam Near ICF Bus Stand,Chennai"
Dealer,BHK,0,0,2,1,1,1210.136674,19.0168,73.09646,85,"Kamothe,Mumbai"
Dealer,BHK,0,0,2,1,1,1365.001365,19.126499,72.99956,200,"Sector-11 Ghansoli,Mumbai"
Dealer,BHK,1,1,2,0,0,499.6366279,19.255098,72.9815265,110,"Hiranandani Estate,Maharashtra"
Dealer,BHK,0,0,2,1,1,1050.144395,22.271214,73.188827,40,"Manjalpur,Vadodara"
Owner,BHK,0,0,1,1,1,476.0204689,13.020957,80.152774,40,"Madanandapuram,Chennai"
Dealer,BHK,0,0,2,1,1,985.452839,28.538774,77.366515,21,"Hajipur,Noida"
Dealer,BHK,0,0,2,1,1,1045.296167,28.368269,77.37273,24,"Sector 77 Faridabad,Faridabad"
Dealer,BHK,1,1,2,0,1,1301.89498,12.86,77.786,90,"Sarjapur Road,Bangalore"
Owner,BHK,0,0,2,1,1,2000,28.2102,76.8606,38,"Alwar Bypass Road,Bhiwadi"
Dealer,BHK,1,1,4,0,1,4465.709729,28.526624,77.376718,280,"Sector-108 Noida,Noida"
Dealer,BHK,0,0,2,1,1,1192,20.286571,85.810906,59.6,"Nayapalli,Bhubaneswar"
Dealer,BHK,1,0,3,0,0,1846.153846,22.5922,88.484911,120,"New Town,Kolkata"
Dealer,BHK,1,0,1,0,1,448.5310608,19.221571,73.042474,120,"Kanjur Marg (East),Mumbai"
Owner,BHK,0,0,2,1,1,750.0604887,28.66667,77.41667,31,"Gyan Khand 2,Ghaziabad"
Dealer,BHK,0,0,2,1,1,1060.070671,19.040066,73.115347,72,"Roadpali,Maharashtra"
Dealer,BHK,0,1,3,1,1,1415.09434,12.8458,77.6727,79.5,"Electronic City Phase II,Bangalore"
Dealer,BHK,0,0,2,1,1,1160.062565,18.96,72.82,89,"Sector-35G Kharghar,Maharashtra"
Dealer,BHK,0,0,3,1,1,1690.024732,19.1615,72.8731,410,"Goregaon (East),Lalitpur"
Owner,BHK,1,0,3,0,1,1672.762741,28.495803,77.426848,68.6,"Sector-143B Noida,Noida"
Owner,BHK,0,0,2,1,1,1315.265046,20.606469,72.913465,33,"RM Park,Valsad"
Dealer,BHK,0,0,1,1,1,650.026001,19.245347,73.124577,50,"Kalyan (West),Mumbai"
Owner,BHK,0,0,1,1,1,540.1755571,19.585537,72.836868,16,"Saphale,Palghar"
Dealer,BHK,0,0,3,1,1,1830.065359,20.098413,79.10786,98,"Suraksha Nagar,Bangalore"
Dealer,BHK,0,0,3,1,1,1575.157516,28.66667,77.41667,70,"Judges Enclave,Ghaziabad"
Dealer,BHK,0,0,3,1,1,1530,12.904179,77.665897,76.5,"Harlur Road,Bangalore"
Owner,BHK,0,0,2,1,1,619.6377502,12.758604,77.700377,26,"Byagadadhenahalli,Bangalore"
Owner,BHK,0,0,4,1,1,2200,21.17,72.83,110,"Citylight Area,Surat"
Dealer,BHK,0,0,3,1,1,1757.188498,40.67197199,-86.15292909,77,"Action Area IID,Kolkata"
Dealer,BHK,0,1,2,1,1,1087.885617,19.239813,72.962722,140,"Manpada,Mumbai"
Owner,BHK,0,0,2,1,1,1199.862873,12.880993,77.557654,70,"Doddakallasandra,Bangalore"
Owner,BHK,0,0,2,1,1,1265.035255,13.033421,77.603954,61,"Bhuvaneshwari Nagar,Bangalore"
Dealer,BHK,0,0,2,1,1,676.0453302,22.301625,88.242147,17.3,"Ganganagar,Kolkata"
Owner,BHK,0,0,2,1,1,800,28.678014,77.38296,42,"Mohan Nagar,Ghaziabad"
Owner,BHK,0,0,2,1,1,750.0750075,22.486821,88.233267,25,"Maheshtala,Kolkata"
Dealer,BHK,0,1,2,1,0,1500,13.086769,80.191135,150,"Anna Nagar West,Chennai"
Dealer,BHK,0,0,3,1,1,1814.285714,20.257483,85.780142,88.9,"Khandagiri,Bhubaneswar"
Dealer,BHK,0,1,3,1,1,1195.652174,24.69028,78.41889,110,"Ghodbunder Road,Lalitpur"
Dealer,BHK,0,0,3,1,1,1395.032324,26.900926,75.775927,41,"Raj Nagar Extension,Ghaziabad"
Owner,BHK,0,0,2,1,1,850.1594049,19.696531,72.767746,24,"Palghar,Palghar"
Dealer,BHK,0,0,2,1,1,909.4339623,12.957707,80.183671,48.2,"Keelkattalai,Chennai"
Owner,BHK,1,0,2,0,1,910.0937672,25.248438,83.014116,33,"Ramna,Varanasi"
Dealer,BHK,0,0,3,1,1,1850.070303,12.96991,77.59796,250,"Aga Abbas Ali Road,Bangalore"
Dealer,BHK,0,1,3,1,1,2069.857697,28.546788,77.378494,160,"Sector-107 Noida,Noida"
Dealer,BHK,0,1,2,1,1,820.0082001,19.18,72.96333,140,"Thane West,Mumbai"
Dealer,BHK,0,0,2,1,1,1241.80752,23.182972,72.611485,36,"Sargasan,Gandhinagar"
Dealer,BHK,0,1,3,1,0,1014.120668,18.5438,73.9438,79,"Kharadi,Maharashtra"
Dealer,BHK,0,0,4,1,1,2302.158273,30.697795,76.714722,160,"Sector-70 Mohali,Mohali"
Dealer,BHK,0,0,2,1,1,900.0782677,24.69028,78.41889,69,"Sector 35I Kharghar,Lalitpur"
Builder,BHK,1,0,2,0,0,898.5074627,26.154874,91.670312,30.1,"Jalukbari,Guwahati"
Dealer,BHK,0,0,3,1,1,2235.294118,26.91667,75.86667,190,"C-Scheme,Jaipur"
Dealer,BHK,0,0,3,1,1,1350,28.5679,77.3679,81,"Sector-50 Noida,Noida"
Dealer,BHK,0,1,2,1,1,1100.110011,18.485487,73.803773,70,"Warje,Pune"
Dealer,BHK,0,1,1,1,1,612.1199755,12.8356,80.1682,30,"Mambakkam,Chennai"
Owner,BHK,0,0,2,1,1,1100.352113,20.892133,77.741664,25,"Sai Nagar,Amravati"
Dealer,BHK,0,1,5,1,1,5194.805195,28.522931,77.357078,400,"Sector-128 Noida,Noida"
Dealer,BHK,0,0,3,1,1,1475.256769,28.506454,77.409568,79,"Sector-137 Noida,Noida"
Dealer,BHK,0,1,4,1,1,2780.191138,28.558047,77.392752,160,"Sector-79 Noida,Noida"
Builder,BHK,1,0,1,0,0,300.0260892,24.69028,78.41889,11.5,"Kachimet,Lalitpur"
Owner,BHK,0,0,2,1,1,1000,17.7,83.25,50,"Venkojipalem,Visakhapatnam"
Dealer,BHK,0,0,2,1,1,1532.720245,19.1615,72.8731,230,"Goregaon (East),Mumbai"
Dealer,BHK,1,1,2,0,0,995.8314034,22.311323,73.121275,21.5,"Sevasi,Vadodara"
Dealer,BHK,0,0,3,1,0,1646.706587,28.406794,76.936447,110,"Sector-90 Gurgaon,Gurgaon"
Dealer,BHK,0,0,4,1,1,2350.965575,30.664299,76.817624,56,"Sunny Enclave,Mohali"
Owner,BHK,0,0,3,1,1,534.061239,28.34532,77.299035,45,"Sector 55 Faridabad,Faridabad"
Dealer,BHK,1,1,2,0,1,1100,19.218498,72.992114,110,"Majiwada,Mumbai"
Dealer,BHK,0,0,3,1,1,1968.888889,26.16667,91.76667,88.6,"GS Road,Guwahati"
Dealer,BHK,0,1,3,1,1,2196.354052,28.536585,77.383669,100,"Sector-110 Noida,Noida"
Dealer,BHK,0,1,4,1,1,2400,22.281215,70.789479,300,"Laxmi Nagar,Mumbai"
Dealer,BHK,0,0,2,1,1,1650.252861,18.49667,73.94167,62,"Hadapsar,Pune"
Dealer,BHK,1,1,2,0,0,632.0572845,19.402549,72.854418,45.9,"Vasai East,Mumbai"
Owner,BHK,0,0,2,1,1,1034.965035,26.882832,81.033767,37,"Chinhat,Lucknow"
Dealer,BHK,0,0,2,1,1,965.0439631,18.96,72.82,90,"kavesar,Maharashtra"
Builder,BHK,1,1,2,0,0,600.5495224,24.69028,78.41889,45.9,"Sus,Lalitpur"
Dealer,BHK,0,0,2,1,1,984.8484848,19.255098,72.9815265,130,"Hiranandani Estate,Mumbai"
Dealer,BHK,0,0,3,1,1,1700.060716,19.05871,72.89969,420,"Chembur,Mumbai"
Dealer,BHK,0,1,1,1,0,546.0145604,19.18,72.96333,58.5,"Thane West,Mumbai"
Dealer,BHK,0,0,2,1,1,1195.499297,22.55,72.9,17,"Karamsad,Anand"
Dealer,BHK,1,1,3,0,1,1677.468547,18.914541,72.818211,220,"Thakur Village,Mumbai"
Dealer,BHK,0,1,3,1,1,1699.716714,28.629811,77.434197,48,"Crossing Republik,Ghaziabad"
Dealer,BHK,0,0,2,1,1,1075.027996,28.602325,77.401994,48,"sector-121 Noida,Noida"
Dealer,BHK,1,1,1,0,0,485.790072,19.222101,72.988231,64.1,"Balkum,Mumbai"
Owner,BHK,0,0,2,1,1,929.8998569,12.919423,77.522774,52,"Rajarajeshwari Nagar,Bangalore"
Dealer,BHK,0,0,3,1,1,1438.021283,19.124896,72.893503,600,"Hiranandani Gardens - Powai,Lalitpur"
Dealer,BHK,0,0,5,1,1,5299.954894,12.91668,77.59196,470,"Iblur Village,Bangalore"
Dealer,BHK,0,1,2,1,1,1020.181859,13.055985,77.622157,46,"Thanisandra,Bangalore"
Owner,BHK,0,0,2,1,1,1070.135002,28.6423,77.3445,65,"Vaishali,Ghaziabad"
Owner,BHK,0,0,2,1,1,2400.384061,13.603543,79.460402,50,"Tiruchanur,Tirupati"
Owner,BHK,0,0,3,1,1,1767.388826,17.546483,78.480303,77.5,"Kompally,Secunderabad"
Builder,BHK,1,1,1,0,0,524,18.6182,73.7447,26.2,"Tathawade,Pune"
